Timestamp: 0 | User Started Car
Timestamp: 500 | User Started Car
Timestamp: 7500 | Traction Control enabled on wheel 3
Timestamp: 7500 | Traction Control enabled on wheel 4
Timestamp: 8500 | User Started Car
Timestamp: 17500 | Object Detected!!!! Enabling automatic braking
Timestamp: 18000 | Object Detected!!!! Enabling automatic braking
Timestamp: 18500 | Object Detected!!!! Enabling automatic braking
Timestamp: 19000 | Object Detected!!!! Enabling automatic braking
Timestamp: 19500 | Object Detected!!!! Enabling automatic braking
Timestamp: 20000 | Object Detected!!!! Enabling automatic braking
